EVTYPE_CODE;EVTYPE;EVENT
1                          tornado;             tornado;tornado
10              thunderstorm winds;  thunderstorm winds;high wind
100 thunderstorm winds/funnel clou;thunderstorm winds/funnel clou;high wind
101         winter storm/high wind;        winter storm/high wind;high wind
102        winter storm/high winds;       winter storm/high winds;high wind
103                    gusty winds;                   gusty winds;high wind
104                   strong winds;                  strong winds;strong wind
105            flooding/heavy rain;           flooding/heavy rain;flood
106                  snow and wind;                 snow and wind;high wind
107    heavy surf coastal flooding;   heavy surf coastal flooding;coastal flood
108                     heavy surf;                    heavy surf;high surf
109            heavy precipatation;           heavy precipatation;heavy rain
11                     record cold;         record cold;"""Cold/Wind Chill"","
110                 urban flooding;                urban flooding;flood
111                      high surf;                     high surf;high surf
112                   blowing dust;                  blowing dust;nd
113                    urban/small;                   urban/small;nd
114                     wild fires;                    wild fires;nd
115                           high;                          high;nd
116           urban/small flooding;          urban/small flooding;flood
117                    water spout;                   water spout;nd
118          high winds dust storm;         high winds dust storm;high wind
119        winter storm high winds;       winter storm high winds;high wind
12                  hurricane erin;      hurricane erin;"""Hurricane (Typhoon)"","
120                    local flood;                   local flood;flood
121                  winter storms;                 winter storms;winter storm
122                      mudslides;                     mudslides;nd
123                      rainstorm;                     rainstorm;heavy rain
124            severe thunderstorm;           severe thunderstorm;ice storm
125           severe thunderstorms;          severe thunderstorms;ice storm
126      severe thunderstorm winds;     severe thunderstorm winds;high wind
127            thunderstorms winds;           thunderstorms winds;high wind
128                 dry microburst;                dry microburst;nd
129              flood/flash flood;             flood/flash flood;flash flood
13                  hurricane opal;      hurricane opal;"""Hurricane (Typhoon)"","
130               flood/rain/winds;              flood/rain/winds;flood
131                          winds;                         winds;high wind
132              dry microburst 61;             dry microburst 61;nd
133                  thunderstorms;                 thunderstorms;ice storm
134              flash flood winds;             flash flood winds;flash flood
135    urban/small stream flooding;   urban/small stream flooding;flood
136                     microburst;                    microburst;nd
137                    strong wind;                   strong wind;strong wind
138               high wind damage;              high wind damage;high wind
139                stream flooding;               stream flooding;flood
14                      heavy rain;          heavy rain;heavy rain
140                urban and small;               urban and small;nd
141                 heavy snowpack;                heavy snowpack;heavy snow
142                            ice;                           ice;ice storm
143                   flash flood/;                  flash flood/;flash flood
144                      downburst;                     downburst;nd
145                   gustnado and;                  gustnado and;nd
146                flood/rain/wind;               flood/rain/wind;flood
147                 wet microburst;                wet microburst;nd
148                downburst winds;               downburst winds;high wind
149           dry microburst winds;          dry microburst winds;high wind
15                       lightning;           lightning;lightning
150           dry mircoburst winds;          dry mircoburst winds;high wind
151              dry microburst 53;             dry microburst 53;nd
152       small stream urban flood;      small stream urban flood;flood
153               microburst winds;              microburst winds;high wind
154                  high winds 57;                 high winds 57;high wind
155              dry microburst 50;             dry microburst 50;nd
156                  high winds 66;                 high winds 66;high wind
157                  high winds 76;                 high winds 76;high wind
158                  high winds 63;                 high winds 63;high wind
159                  high winds 67;                 high winds 67;high wind
16               thunderstorm wind;   thunderstorm wind;high wind
160            blizzard/heavy snow;           blizzard/heavy snow;blizzard
161          heavy snow/high winds;         heavy snow/high winds;high wind
162                   blowing snow;                  blowing snow;heavy snow
163                  high winds 82;                 high winds 82;high wind
164                  high winds 80;                 high winds 80;high wind
165                  high winds 58;                 high winds 58;high wind
166               freezing drizzle;              freezing drizzle;frost/freeze
167  lightning thunderstorm windss; lightning thunderstorm windss;"""Cold/Wind Chill"","
168              dry microburst 58;             dry microburst 58;nd
169                        hail 75;                       hail 75;hail
17                       dense fog;           dense fog;fog
170                  high winds 73;                 high winds 73;high wind
171                  high winds 55;                 high winds 55;high wind
172           light snow and sleet;          light snow and sleet;heavy snow
173                    urban flood;                   urban flood;flood
174              dry microburst 84;             dry microburst 84;nd
175          thunderstorm winds 60;         thunderstorm winds 60;high wind
176            heavy rain/flooding;           heavy rain/flooding;flood
177            thunderstorm windss;           thunderstorm windss;high wind
178                       tornados;                      tornados;tornado
179                          glaze;                         glaze;nd
18                     rip current;         rip current;rip current
180                    record heat;                   record heat;heat
181               coastal flooding;              coastal flooding;coastal flood
182                      heat wave;                     heat wave;heat
183                     first snow;                    first snow;heavy snow
184        freezing rain and sleet;       freezing rain and sleet;frost/freeze
185               unseasonably dry;              unseasonably dry;nd
186               unseasonably wet;              unseasonably wet;nd
187                     wintry mix;                    wintry mix;nd
188                 winter weather;                winter weather;winter weather
189              unseasonably cold;             unseasonably cold;"""Cold/Wind Chill"","
19               thunderstorm wins;   thunderstorm wins;ice storm
190            extreme/record cold;           extreme/record cold;"""Cold/Wind Chill"","
191        rip currents heavy surf;       rip currents heavy surf;high surf
192                sleet/rain/snow;               sleet/rain/snow;heavy rain
193              unseasonably warm;             unseasonably warm;nd
194                        drought;                       drought;drought
195           normal precipitation;          normal precipitation;nd
196            high winds/flooding;           high winds/flooding;flood
197                            dry;                           dry;nd
198                      rain/snow;                     rain/snow;heavy rain
199                snow/rain/sleet;               snow/rain/sleet;heavy rain
2                        tstm wind;           tstm wind;thunderstorm wind
20                     flash flood;         flash flood;flash flood
200             waterspout/tornado;            waterspout/tornado;tornado
201                    waterspouts;                   waterspouts;waterspout
202             waterspout tornado;            waterspout tornado;tornado
203       urban/small stream flood;      urban/small stream flood;flood
204                    storm surge;                   storm surge;ice storm
205             waterspout-tornado;            waterspout-tornado;tornado
206                    waterspout-;                   waterspout-;waterspout
207     tornadoes, tstm wind, hail;    tornadoes, tstm wind, hail;tornado
208         tropical storm alberto;        tropical storm alberto;tropical storm
